optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.01,100,1024,True,True,relu,False,True,sigmoid,38,15,tanh,tanh,0.0001,0.01,60,40,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,512,False,True,sigmoid,True,True,sigmoid,24,15,sigmoid,linear,0.1,0.01,20,38,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,128,True,True,tanh,True,False,sigmoid,26,15,linear,sigmoid,0,0.01,20,30,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,128,False,True,softmax,True,True,sigmoid,32,12,sigmoid,softmax,0.0001,0.1,30,26,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,128,False,True,softmax,True,True,sigmoid,40,15,tanh,relu,0.001,0.01,30,32,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,1024,True,True,tanh,False,True,sigmoid,34,3,softmax,softmax,0.01,0.1,20,34,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,512,True,False,relu,True,False,sigmoid,32,12,tanh,relu,0.1,0,60,36,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.01,100,1024,True,True,softmax,True,True,sigmoid,34,9,relu,softmax,0.0001,0,60,26,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,512,True,False,relu,False,True,sigmoid,44,3,linear,linear,0.001,0.001,20,32,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.001,100,512,True,False,relu,False,False,sigmoid,36,9,tanh,linear,0.1,0,50,32,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,1024,True,False,softmax,False,False,sigmoid,24,1,linear,tanh,0.001,0.01,60,28,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,256,True,True,tanh,False,False,sigmoid,26,6,softmax,linear,0.01,0,50,26,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,256,True,False,tanh,True,False,sigmoid,24,15,relu,relu,0,0,20,42,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.01,100,256,False,True,softmax,True,True,sigmoid,34,12,linear,linear,0.01,0.01,50,42,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.1,100,128,True,True,softmax,True,True,sigmoid,28,15,tanh,sigmoid,0.0001,0.1,30,36,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.001,100,256,True,True,tanh,True,True,sigmoid,26,15,softmax,tanh,0.01,0.001,20,30,nan,nan,nan,nan,nan,nan,nan,nan
rmsprop,3,0.1,100,256,False,False,relu,True,True,sigmoid,38,3,linear,softmax,0.001,0.0001,40,40,nan,nan,nan,nan,nan,nan,nan,nan
adam,3,0.1,100,128,True,True,sigmoid,False,True,sigmoid,44,3,relu,tanh,0.0001,0.01,60,40,nan,nan,nan,nan,nan,nan,nan,nan
sgd,3,0.001,100,1024,False,True,tanh,False,True,sigmoid,24,3,softmax,tanh,0.1,0.1,20,30,nan,nan,nan,nan,nan,nan,nan,nan
