optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,4,0.001,50,256,True,260,same,sigmoid,0.0001,0.01,54,16,0.3,"[1, 1, 1, 1]",relu,11.460893631,0.49735301733,0.494438946247,0.994563817978,11.4604272842,0.497526079416,0.493605822325,0.995215296745
rmsprop,3,0.1,50,256,False,100,same,sigmoid,0.1,0.1,58,10,0.2,"[1, 4, 8]",relu,8.46173095703,0.50830078125,0.0,0.0,8.46110630035,0.512500047684,0.0,0.0
rmsprop,3,0.01,50,128,False,180,same,sigmoid,0.2,0.001,50,28,0.01,"[1, 1, 1]",relu,1.53874540329,0.514959037304,0.503525316715,0.967284858227,1.5401301384,0.513831973076,0.502175688744,0.964733541012
sgd,3,0.0001,50,128,False,150,same,sigmoid,0.2,0.2,46,70,0.3,"[1, 1, 1]",relu,1.61478412151,0.508657813072,0.0,0.0,1.61478304863,0.509221315384,0.0,0.0
sgd,1,0.001,50,64,True,240,same,sigmoid,0.2,0.1,82,58,0.001,[1],softmax,0.712132692337,0.508669197559,0.0,0.0,0.712109148502,0.509605586529,0.0,0.0
rmsprop,3,0.001,50,64,True,120,same,sigmoid,0.0001,0.01,32,24,0.001,"[1, 2, 4]",relu,0.737892389297,0.566975235939,0.546659588814,0.695430397987,0.751654446125,0.569672167301,0.546425640583,0.697796404362
sgd,5,0.001,50,256,True,100,same,sigmoid,0.1,0.0001,8,56,0.2,"[1, 2, 4, 4, 2]",tanh,9.66405010223,0.500899493694,0.485631078482,0.261542469263,9.66112709045,0.500651061535,0.474365353584,0.255359053612
adam,4,0.01,50,64,False,210,same,sigmoid,0.0001,0.0001,98,42,0.001,"[1, 2, 4, 4]",softmax,0.710963845253,0.508157730103,0.0,0.0,0.711505174637,0.500896573067,0.0,0.0
rmsprop,2,0.01,50,256,False,120,same,sigmoid,0.01,0.2,30,48,0.01,"[1, 1]",relu,71.3011245728,0.508634865284,1.0,5.22985210409e-05,71.3009719849,0.513541698456,0.0,0.0
adam,4,0.001,50,256,False,110,same,sigmoid,0.001,0.1,52,12,0.2,"[1, 0.5, 0.25, 0.25]",relu,2.91470575333,0.508454978466,0.0,0.0,2.91463255882,0.510677099228,0.0,0.0
adam,1,0.01,50,128,False,150,same,sigmoid,0.2,0.3,60,68,0.2,[1],sigmoid,,,,,,,,
