use_layerwise_dropout_batchnorm,units,output_layer_activation,optimizer,num_layers,learning_rate,l2_r,l1_r,growth_sequence,epochs,dropout_rate,dropout_T_bn_F,batch_size,activation,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
True,130,sigmoid,adam,4,0.0001,0.001,0.0001,"[1, 2, 4, 6]",50,0.01,True,256,softmax,,,,,,,,,,,
False,190,sigmoid,sgd,5,0.0001,0.01,0.001,"[1, 4, 8, 8, 4]",50,0.01,True,128,relu,,,,,,,,,,,
True,570,sigmoid,rmsprop,2,0.01,0.0,0.0001,"[1, 2]",50,0.0,True,64,sigmoid,,,,,,,,,,,
True,80,sigmoid,sgd,1,0.0001,0.0001,0.0001,[1],50,0.01,True,128,relu,,,,,,,,,,,
False,400,sigmoid,adam,2,0.01,0.2,0.001,"[1, 2]",50,0.01,True,64,sigmoid,,,,,,,,,,,
False,350,sigmoid,adam,5,0.1,0.001,0.1,"[1, 2, 4, 4, 2]",50,0.0,False,128,tanh,,,,,,,,,,,
True,180,sigmoid,rmsprop,4,0.1,0.0001,0.001,"[1, 4, 8, 8]",50,0.01,True,64,relu,,,,,,,,,,,
False,580,sigmoid,adam,2,0.01,0.2,0.2,"[1, 2]",50,0.01,False,64,softmax,,,,,,,,,,,
False,580,sigmoid,adam,2,0.0001,0.2,0.0001,"[1, 2]",50,0.1,True,64,sigmoid,,,,,,,,,,,
True,490,sigmoid,rmsprop,2,0.01,0.2,0.0,"[1, 2]",50,0.0,False,256,relu,,,,,,,,,,,
False,330,sigmoid,adam,5,0.01,0.0,0.0001,"[1, 4, 4, 4, 4]",50,0.2,False,256,sigmoid,,,,,,,,,,,
False,120,sigmoid,adam,1,0.01,0.0001,0.2,[1],50,0.1,False,256,relu,,,,,,,,,,,
False,260,sigmoid,adam,2,0.001,0.3,0.0001,"[1, 4]",50,0.3,True,64,relu,,,,,,,,,,,
True,200,sigmoid,sgd,1,0.01,0.3,0.0001,[1],50,0.3,True,128,relu,,,,,,,,,,,
True,520,sigmoid,adam,4,0.01,0.2,0.01,"[1, 2, 2, 2]",50,0.2,True,64,relu,,,,,,,,,,,
True,420,sigmoid,sgd,4,0.001,0.1,0.0,"[1, 2, 4, 6]",50,0.2,True,256,softmax,,,,,,,,,,,
False,370,sigmoid,sgd,3,0.01,0.0001,0.3,"[1, 2, 2]",50,0.01,True,64,sigmoid,,,,,,,,,,,
False,450,sigmoid,sgd,2,0.001,0.0001,0.0001,"[1, 2]",50,0.0,False,64,softmax,,,,,,,,,,,
True,390,sigmoid,sgd,2,0.01,0.0001,0.01,"[1, 2]",50,0.1,True,128,relu,,,,,,,,,,,
True,60,sigmoid,adam,4,0.01,0.1,0.0001,"[1, 1, 1, 1]",50,0.0,False,64,sigmoid,,,,,,,,,,,
True,540,sigmoid,rmsprop,1,0.001,0.01,0.2,[1],50,0.01,False,256,relu,,,,,,,,,,,
False,600,sigmoid,sgd,1,0.001,0.0,0.001,[1],50,0.0,False,128,tanh,,,,,,,,,,,
False,410,sigmoid,rmsprop,4,0.1,0.0,0.0,"[1, 2, 2, 2]",50,0.1,True,128,sigmoid,,,,,,,,,,,
True,680,sigmoid,rmsprop,2,0.01,0.0,0.0001,"[1, 2]",50,0.001,False,64,relu,,,,,,,,,,,
True,110,sigmoid,adam,1,0.01,0.0,0.1,[1],50,0.0,True,128,relu,,,,,,,,,,,
False,380,sigmoid,sgd,4,0.01,0.01,0.0001,"[1, 2, 2, 2]",50,0.0,True,128,tanh,,,,,,,,,,,
True,120,sigmoid,sgd,2,0.1,0.0,0.001,"[1, 2]",50,0.2,False,64,relu,,,,,,,,,,,
True,50,sigmoid,adam,1,0.001,0.2,0.001,[1],50,0.01,True,64,relu,0.800412535667,0.50715848554,0.0,0.0,0.0,0.800898253918,0.483601485149,0.0,0.0,0.0,"[[3126    0]
 [3338    0]]"
False,600,sigmoid,adam,3,0.1,0.01,0.001,"[1, 1, 1]",50,0.001,False,64,relu,,,,,,,,,,,
True,240,sigmoid,sgd,2,0.0001,0.3,0.01,"[1, 2]",50,0.0,True,256,relu,609.301879883,0.506478658537,0.498357,0.153824,0.235086,609.301452637,0.4890625,0.515789,0.148485,0.230588,"[[2640  460]
 [2810  490]]"
True,610,sigmoid,adam,1,0.001,0.2,0.0001,[1],50,0.1,False,64,softmax,,,,,,,,,,,
False,250,sigmoid,adam,4,0.001,0.0,0.1,"[1, 4, 4, 4]",50,0.3,False,128,sigmoid,206.514160156,0.506978849085,0.0,0.0,0.0,206.515808105,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
False,310,sigmoid,sgd,3,0.1,0.001,0.001,"[1, 1, 1]",50,0.0,True,64,tanh,,,,,,,,,,,
True,340,sigmoid,adam,4,0.1,0.3,0.1,"[1, 1, 1, 1]",50,0.3,True,64,relu,,,,,,,,,,,
True,440,sigmoid,sgd,5,0.01,0.0,0.001,"[1, 4, 8, 8, 4]",50,0.001,True,128,relu,,,,,,,,,,,
False,60,sigmoid,sgd,5,0.01,0.1,0.1,"[1, 4, 8, 8, 4]",50,0.001,True,128,sigmoid,,,,,,,,,,,
False,510,sigmoid,adam,2,0.1,0.0001,0.3,"[1, 1]",50,0.01,True,64,sigmoid,,,,,,,,,,,
False,50,sigmoid,adam,1,0.01,0.0,0.2,[1],50,0.1,True,256,softmax,,,,,,,,,,,
True,250,sigmoid,sgd,3,0.0001,0.0,0.0001,"[1, 2, 4]",50,0.3,True,128,sigmoid,6.99406814575,0.506978849085,0.0,0.0,0.0,6.9947180748,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,190,sigmoid,sgd,2,0.01,0.3,0.0,"[1, 1]",50,0.0,True,256,relu,27.6194190979,0.506978849085,0.0,0.0,0.0,27.6196136475,0.484375,0.0,0.0,0.0,"[[3100    0]
 [3300    0]]"
True,50,sigmoid,sgd,3,0.1,0.3,0.0,"[1, 4, 8]",50,0.2,True,128,tanh,,,,,,,,,,,
False,630,sigmoid,sgd,4,0.0001,0.1,0.0001,"[1, 2, 4, 6]",50,0.1,True,256,relu,,,,,,,,,,,
True,510,sigmoid,rmsprop,4,0.1,0.0001,0.0001,"[1, 2, 4, 4]",50,0.001,False,256,relu,,,,,,,,,,,
True,550,sigmoid,rmsprop,1,0.01,0.3,0.001,[1],50,0.001,False,64,tanh,,,,,,,,,,,
