use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,decay_sequence,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
True,228,same,sigmoid,rmsprop,5,68,0.001,0.1,0.2,239,147,50,0.1,sigmoid,"[1, 1, 1, 1, 1]",relu,256,170.475082397,0.508668601513,0.595238089561,0.00261547323316,170.47517395,0.508072972298,0.5,0.00264690304175,"[[3890   46]
 [3880   11]]"
False,90,same,sigmoid,sgd,2,56,0.1,0.01,0.1,299,123,50,0.01,relu,"[1, 1]",relu,256,202.612487793,0.556667327881,0.535647213459,0.732195198536,202.612075806,0.548142313957,0.526183068752,0.728517770767,"[[3854   82]
 [3782  109]]"
False,100,same,sigmoid,rmsprop,3,108,0.0001,0.01,0.1,255,144,50,0.01,softmax,"[1, 2, 4]",tanh,128,6.18225860596,0.508486270905,0.0,0.0,6.18241834641,0.499871969223,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,176,same,sigmoid,rmsprop,3,108,0.0001,0.001,0.0001,216,75,50,0.01,sigmoid,"[1, 4, 8]",relu,256,0.662144899368,0.599135696888,0.565918445587,0.791657924652,0.661586165428,0.60091149807,0.570419847965,0.785958468914,"[[1053 2883]
 [ 294 3597]]"
True,173,same,sigmoid,sgd,4,144,0.001,0.3,0.001,221,60,50,0.0,tanh,"[1, 2, 4, 4]",relu,64,0.708950936794,0.543206751347,0.519067943096,0.963813364506,0.708569169044,0.539574801922,0.515739142895,0.960984528065,"[[ 243 3693]
 [  78 3813]]"
True,261,same,sigmoid,sgd,4,138,0.01,0.3,0.3,290,24,50,0.3,sigmoid,"[1, 4, 8, 8]",tanh,64,33.1699371338,0.539341688156,0.541138827801,0.413694351912,33.1699409485,0.543417036533,0.541330635548,0.422723710537,"[[  88 3848]
 [  35 3856]]"
False,110,same,sigmoid,adam,5,142,0.0001,0.1,0.001,276,117,50,0.2,tanh,"[1, 2, 4, 6, 8]",relu,128,0.710286080837,0.508358120918,0.0,0.0,0.710659384727,0.499871969223,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,279,same,sigmoid,adam,5,56,0.0001,0.0001,0.001,279,15,50,0.1,relu,"[1, 1, 1, 1, 1]",tanh,64,0.823086977005,0.546457469463,0.521313309669,0.950395584106,0.825862288475,0.541624009609,0.516124486923,0.950591385365,"[[ 160 3776]
 [  42 3849]]"
False,98,same,sigmoid,rmsprop,4,96,0.001,0.2,0.3,253,24,50,0.1,relu,"[1, 2, 4, 6]",tanh,64,23.8547115326,0.508651614189,0.0,0.0,23.85505867,0.49910351634,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,261,same,sigmoid,sgd,3,90,0.1,0.01,0.2,261,33,50,0.01,sigmoid,"[1, 1, 1]",relu,128,440.906158447,0.561865448952,0.5397310853,0.737023293972,440.906219482,0.560473501682,0.53792321682,0.745087742805,"[[2372 1564]
 [2344 1547]]"
False,287,same,sigmoid,sgd,4,76,0.1,0.1,0.2,287,27,50,0.1,sigmoid,"[1, 4, 8, 8]",tanh,64,26.8795318604,0.508523643017,0.0,0.0,26.8793849945,0.510374009609,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,136,same,sigmoid,rmsprop,2,102,0.001,0.3,0.2,200,66,50,0.01,softmax,"[1, 1]",tanh,128,71.5479278564,0.508511960506,0.0,0.0,71.5479049683,0.510245919228,0.0,0.0,"[[3936    0]
 [3891    0]]"
False,181,same,sigmoid,adam,1,114,0.01,0.01,0.2,181,12,50,0.2,relu,[1],tanh,256,1.14020490646,0.508462786674,0.0,0.0,1.13977992535,0.514322936535,0.0,0.0,"[[3706  230]
 [3849   42]]"
True,154,same,sigmoid,sgd,5,120,0.001,0.01,0.001,154,141,50,0.1,tanh,"[1, 2, 4, 6, 8]",tanh,128,,,,,,,,,
False,82,same,sigmoid,sgd,4,30,0.01,0.001,0.001,277,169,50,0.01,softmax,"[1, 2, 4, 6]",tanh,64,,,,,,,,,
True,195,same,sigmoid,adam,1,62,0.001,0.0001,0.2,215,139,50,0.0,softmax,[1],tanh,64,1.34112727642,0.508549213409,0.0,0.0,1.34158265591,0.498335063457,0.0,0.0,"[[3936    0]
 [3891    0]]"
True,285,same,sigmoid,rmsprop,3,74,0.0001,0.01,0.3,285,289,50,0.0,relu,"[1, 1, 1]",tanh,128,,,,,,,,,
True,222,same,sigmoid,sgd,4,82,0.1,0.01,0.1,287,148,50,0.2,softmax,"[1, 1, 1, 1]",tanh,64,,,,,,,,,
True,198,same,sigmoid,sgd,5,82,0.001,0.001,0.0001,198,109,50,0.3,softmax,"[1, 2, 4, 6, 8]",relu,256,,,,,,,,,
