use_layerwise_dropout_batchnorm,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,first_dense_units,filter_size,epochs,dropout_rate,dense_activation,decay_sequence,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,same,sigmoid,sgd,2,60,0.01,0.1,0.0001,260,58,75,0.2,relu,"[1, 4]",tanh,256,2.51913881302,0.603976428509,0.568232834339,0.867919921875,2.51741528511,0.610595166683,0.577371060848,0.866416931152,"[[ 837 1644]
 [ 340 2113]]"
False,same,sigmoid,sgd,1,68,0.01,0.1,0.001,296,44,75,0.01,tanh,[1],relu,64,0.74861240387,0.615033209324,0.576149940491,0.876360058784,0.748705863953,0.620632946491,0.58319914341,0.881184160709,"[[ 859 1622]
 [ 323 2130]]"
False,same,sigmoid,sgd,1,62,0.025,0.1,0.01,274,54,75,0.01,relu,[1],relu,64,0.504927277565,0.822074711323,0.806552290916,0.848416686058,0.502467215061,0.816152572632,0.801991581917,0.843334674835,"[[1871  610]
 [ 518 1935]]"
False,same,sigmoid,sgd,1,64,0.01,0.1,0.01,294,52,75,0.2,relu,[1],relu,64,0.676542460918,0.605317652225,0.569380283356,0.869427740574,0.677003979683,0.609124541283,0.575904905796,0.865259766579,"[[ 847 1634]
 [ 347 2106]]"
False,same,sigmoid,sgd,1,62,0.005,0.01,0.0001,268,44,75,0.01,tanh,[1],tanh,128,0.683976054192,0.639273703098,0.596923708916,0.862614929676,0.683879196644,0.644575715065,0.605515241623,0.865201115608,"[[ 953 1528]
 [ 391 2062]]"
False,same,sigmoid,sgd,1,70,0.005,0.01,0.0001,290,52,75,0.01,tanh,[1],relu,128,0.655470013618,0.671437263489,0.633972108364,0.815520405769,0.653988957405,0.666324019432,0.620921313763,0.815889000893,"[[1217 1264]
 [ 504 1949]]"
False,same,sigmoid,sgd,1,66,0.005,0.01,0.001,292,40,75,0.001,tanh,[1],relu,128,0.761200368404,0.629447638988,0.588776886463,0.861505627632,0.760417759418,0.634444892406,0.595524966717,0.865721404552,"[[ 939 1542]
 [ 377 2076]]"
False,same,sigmoid,sgd,2,78,0.05,0.01,0.0001,288,48,75,0.1,relu,"[1, 2]",relu,64,0.453811556101,0.818115353584,0.817542612553,0.81992828846,0.440369993448,0.826095759869,0.829208910465,0.824193537235,"[[1998  483]
 [ 438 2015]]"
False,same,sigmoid,sgd,2,66,0.025,0.01,0.001,288,56,75,0.0,relu,"[1, 2]",tanh,64,0.42026501894,0.849119842052,0.851462781429,0.846807956696,0.418833702803,0.848823070526,0.850144088268,0.844235479832,"[[2090  391]
 [ 394 2059]]"
False,same,sigmoid,sgd,1,64,0.025,0.1,0.01,252,56,75,0.001,tanh,[1],tanh,128,0.888580918312,0.608727514744,0.580479323864,0.790585815907,0.891300797462,0.600534558296,0.572194099426,0.791598021984,"[[ 966 1515]
 [ 438 2015]]"
False,same,sigmoid,sgd,2,62,0.01,0.1,0.0001,270,44,75,0.2,relu,"[1, 1]",tanh,128,0.743692457676,0.614159286022,0.581705868244,0.819615244865,0.745477855206,0.609786212444,0.576521754265,0.819868087769,"[[1016 1465]
 [ 453 2000]]"
