optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,3,0.001,100,512,True,False,relu,True,True,sigmoid,36,18,tanh,relu,0.01,0.0001,40,40,42.9260215759,0.4968945086,0.496787250042,0.997835814953,42.9670944214,0.490501731634,0.490234375,0.997052311897
rmsprop,3,0.01,100,1024,True,True,relu,False,True,sigmoid,42,6,linear,tanh,0.0001,0.0001,40,36,0.818508267403,0.931141674519,0.911698937416,0.887862980366,0.868602156639,0.910308122635,0.890474736691,0.862184882164
sgd,3,0.01,75,256,False,True,tanh,True,True,sigmoid,44,9,relu,softmax,0.01,0.0001,20,38,0.693145751953,0.0,0.503060102463,0.0,0.693060576916,0.0,0.509161949158,0.0
sgd,3,0.1,100,1536,False,True,sigmoid,False,False,sigmoid,42,12,relu,linear,0.01,0.01,60,30,0.670452594757,0.49739035964,0.4975515306,0.989981770515,0.673882365227,0.490889132023,0.491174757481,0.988651454449
sgd,3,0.1,75,256,True,False,softmax,True,True,sigmoid,30,1,relu,sigmoid,0.0001,0.01,30,32,48.0803337097,0.886369884014,0.740819633007,0.549005687237,48.0659446716,0.891389191151,0.751278400421,0.561713218689
rmsprop,3,0.01,100,1536,True,False,relu,True,True,sigmoid,44,15,linear,linear,0.0,0.01,20,36,369.773620605,0.0,0.502604186535,0.0,369.771820068,0.0,0.509186923504,0.0
rmsprop,3,0.1,100,1024,True,True,relu,True,True,sigmoid,36,18,sigmoid,softmax,0.01,0.0,40,28,62.9178771973,0.496624439955,0.49663156271,1.0,62.9257850647,0.491661667824,0.491661667824,1.0
sgd,3,0.01,75,128,False,True,softmax,True,True,sigmoid,26,12,softmax,relu,0.1,0.01,20,28,0.939192354679,0.0,0.503187060356,0.0,0.939145505428,0.0,0.509161949158,0.0
adam,3,0.001,100,256,True,True,relu,False,False,sigmoid,28,9,softmax,sigmoid,0.01,0.001,50,38,0.268949091434,0.942176580429,0.911228001118,0.874943196774,0.283445060253,0.928638041019,0.900781273842,0.864274322987
sgd,3,0.01,75,1024,True,True,tanh,True,True,sigmoid,32,1,linear,relu,0.001,0.0,40,40,0.709646880627,0.709776580334,0.785764813423,0.961382687092,0.725195944309,0.70860928297,0.787560105324,0.964553117752
rmsprop,3,0.001,100,256,True,True,relu,True,True,sigmoid,42,9,relu,sigmoid,0.001,0.0001,50,28,0.950576841831,0.976013839245,0.767486453056,0.545284211636,0.94169908762,0.974781274796,0.771235823631,0.54811167717
rmsprop,3,0.01,75,1536,False,True,softmax,True,False,sigmoid,42,1,tanh,relu,0.1,0.0001,30,38,0.24805483222,0.943045377731,0.92002093792,0.892940580845,0.305202901363,0.89985960722,0.880063652992,0.85025793314
rmsprop,3,0.01,75,128,False,False,relu,False,True,sigmoid,44,6,relu,tanh,0.1,0.001,40,36,161.577316284,0.496855258942,0.496855258942,1.0,161.59538269,0.490838080645,0.490838080645,1.0
sgd,3,0.01,100,512,True,True,relu,False,True,sigmoid,36,18,sigmoid,softmax,0.01,0.0,50,34,5.23323249817,0.97365128994,0.642620563507,0.288445115089,5.23959064484,0.965483725071,0.647714138031,0.292704492807
sgd,3,0.001,75,512,True,True,relu,True,True,sigmoid,26,3,softmax,tanh,0.01,0.1,30,42,5.65618610382,0.931378662586,0.542275249958,0.0850542634726,5.65577125549,0.923809528351,0.547815382481,0.0857774466276
sgd,3,0.001,100,1536,True,True,relu,False,False,sigmoid,38,6,sigmoid,relu,0.01,0.01,50,26,0.581468641758,0.601859629154,0.664727687836,0.961937010288,0.577799499035,0.598139345646,0.664858222008,0.966543853283
sgd,3,0.01,75,1024,True,False,relu,True,True,sigmoid,38,12,tanh,linear,0.0,0.001,30,42,10.8412809372,0.499317467213,0.501429438591,0.999544560909,10.874332428,0.493174433708,0.494741588831,0.999083280563
sgd,3,0.001,75,512,True,True,relu,False,True,sigmoid,44,6,sigmoid,sigmoid,0.0,0.01,40,42,5.22851896286,0.931977212429,0.597486436367,0.204882085323,5.23292446136,0.924024641514,0.598813652992,0.198968306184
sgd,3,0.001,75,128,True,True,relu,True,False,sigmoid,40,1,relu,linear,0.01,0.0001,40,40,0.614709079266,0.724898040295,0.794082820415,0.943657577038,0.624507308006,0.723168849945,0.795667588711,0.94573867321
sgd,3,0.001,100,1024,True,True,relu,False,True,sigmoid,36,21,sigmoid,relu,0.01,0.001,30,32,67.0378799438,0.814867317677,0.855553686619,0.917680561543,67.0490875244,0.805990278721,0.849083542824,0.912757813931
adam,3,0.001,100,1024,True,True,relu,True,True,sigmoid,24,1,relu,softmax,0.1,0.0,50,40,0.490893423557,0.856335759163,0.819194436073,0.764293670654,0.482300251722,0.864372134209,0.829627394676,0.775095522404
adam,3,0.1,100,1536,True,True,relu,True,False,sigmoid,38,18,softmax,tanh,0.1,0.01,40,28,133.069793701,0.496051281691,0.496051281691,1.0,133.07081604,0.490813076496,0.490813076496,1.0
adam,3,0.01,100,1024,False,True,sigmoid,True,True,sigmoid,26,18,relu,linear,0.0001,0.1,30,26,103.417800903,0.0,0.503623187542,0.0,103.417732239,0.0,0.508338332176,0.0
sgd,3,0.001,75,1536,True,True,tanh,False,False,sigmoid,34,1,sigmoid,relu,0.0001,0.0,60,26,0.686279296875,0.497338861227,0.497792124748,0.987326622009,0.686197936535,0.490766525269,0.490957766771,0.987030208111
sgd,3,0.01,100,1536,False,True,tanh,True,True,sigmoid,44,6,relu,softmax,0.01,0.01,40,28,1.10296320915,0.0,0.503594875336,0.0,1.10291278362,0.0,0.509186923504,0.0
