use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dropout_T_bn_F,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
False,206,same,sigmoid,sgd,2,78,0.0025,0.1,0.1,"[1, 2]",276,52,50,0.1,False,relu,tanh,128,,,,,,,,,
False,246,same,sigmoid,sgd,2,78,0.025,0.0001,0.0001,"[1, 2]",264,50,50,0.01,False,tanh,tanh,128,0.714322030544,0.760343670845,0.78419226408,0.716642320156,0.666010677814,0.781550526619,0.212636709213,0.688976347446,"[[2400  674]
 [ 103  151]]"
True,256,same,sigmoid,adam,2,60,0.005,0.001,0.0001,"[1, 2]",284,56,50,0.3,True,relu,tanh,128,0.506014049053,0.835012674332,0.824374258518,0.849792361259,0.633568048477,0.775540888309,0.229418218136,0.822834670544,"[[2360  714]
 [  61  193]]"
True,170,same,sigmoid,sgd,1,68,0.0025,0.001,0.01,[1],294,40,50,0.001,True,relu,tanh,64,1.47433757782,0.555225431919,0.69165366888,0.194714486599,1.47306096554,0.851964712143,0.134796246886,0.169960483909,"[[2801  273]
 [ 212   42]]"
True,256,same,sigmoid,sgd,1,72,0.025,0.01,0.01,[1],294,74,50,0.1,False,relu,tanh,128,0.396843492985,0.864218294621,0.914079427719,0.803221106529,0.519822180271,0.798677921295,0.22529643774,0.675889372826,"[[2471  603]
 [ 102  152]]"
False,182,same,sigmoid,sgd,3,64,0.01,0.01,0.0001,"[1, 1, 1]",256,48,50,0.1,True,tanh,relu,256,1.18586540222,0.740893542767,0.768901824951,0.686710417271,1.1449893713,0.7734375,0.202380955219,0.669291317463,"[[2158  703]
 [ 140   90]]"
False,192,same,sigmoid,adam,2,64,0.025,0.01,0.0001,"[1, 2]",296,68,50,0.01,True,relu,relu,48,1.03672325611,0.498685777187,0.498685777187,1.0,1.08098208904,0.0754830911756,0.0754830911756,1.0,"[[   0 3062]
 [   0  250]]"
True,250,same,sigmoid,sgd,2,60,0.01,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,0.834247112274,0.867041528225,0.972993433475,0.754319190979,0.727534174919,0.923377454281,0.498550742865,0.677165329456,"[[2900  174]
 [  81  173]]"
True,278,same,sigmoid,sgd,3,76,0.0001,0.001,0.001,"[1, 2, 4]",278,60,50,0.1,False,relu,tanh,128,,,,,,,,,
True,250,same,sigmoid,sgd,3,60,0.01,0.01,0.0001,"[1, 4, 8]",286,46,50,0.3,False,tanh,relu,128,2.68350458145,0.901285111904,0.915461599827,0.88365060091,2.74683308601,0.865985631943,0.338383823633,0.791338562965,"[[2663  411]
 [  73  181]]"
True,250,same,sigmoid,sgd,4,60,0.01,0.01,0.0001,"[1, 4, 8, 16]",286,46,50,0.3,False,tanh,relu,128,5.70429134369,0.887023031712,0.924424231052,0.842313349247,5.70185279846,0.879507243633,0.365630686283,0.787401556969,"[[2715  359]
 [  70  184]]"
True,250,same,sigmoid,sgd,2,60,0.01,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,64,0.505084514618,0.872201144695,0.974942326546,0.76334798336,0.409078657627,0.919170677662,0.47214075923,0.644000053406,"[[2882  192]
 [  98  156]]"
True,250,same,sigmoid,sgd,2,60,0.01,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,256,1.41516780853,0.837451159954,0.956114768982,0.706000626087,1.27689802647,0.909855782986,0.43817204237,0.641732275486,"[[2867  207]
 [  91  163]]"
True,250,same,sigmoid,sgd,2,60,0.025,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,0.405190497637,0.903913617134,0.914212763309,0.890922427177,0.466708958149,0.863581776619,0.341269850731,0.846456706524,"[[2599  475]
 [  99  155]]"
True,250,same,sigmoid,sgd,2,60,0.001,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,,,,,,,,,
False,250,same,sigmoid,sgd,2,60,0.005,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,,,,,,,,,
True,250,same,sigmoid,sgd,3,60,0.005,0.01,0.0001,"[1, 4, 8]",286,46,50,0.3,False,tanh,relu,128,4.68713951111,0.940663993359,0.960369288921,0.918936133385,4.83328437805,0.861778855324,0.333876222372,0.80078125,"[[2675  399]
 [  49  205]]"
True,250,same,sigmoid,sgd,4,60,0.005,0.01,0.0001,"[1, 4, 8, 16]",286,46,50,0.3,False,tanh,relu,128,18.1131153107,0.893959343433,0.911913394928,0.871547162533,18.1682891846,0.856670677662,0.324409455061,0.811023592949,"[[2638  436]
 [  49  205]]"
True,250,same,sigmoid,sgd,2,60,0.025,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,0.507681369781,0.840075016022,0.94780933857,0.718577504158,0.372334480286,0.918269276619,0.475000023842,0.67322832346,"[[2883  191]
 [  85  169]]"
True,250,same,sigmoid,sgd,2,60,0.001,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,1.91292726994,0.870400130749,0.967737913132,0.76564180851,1.86247181892,0.876201927662,0.334728032351,0.629921257496,"[[2744  330]
 [ 109  145]]"
True,250,same,sigmoid,sgd,2,60,0.0001,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,2.00482487679,0.878310024738,0.895799219608,0.855490505695,2.09105300903,0.797776460648,0.241676941514,0.771653532982,"[[2441  633]
 [  71  183]]"
True,250,same,sigmoid,sgd,2,60,0.005,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,64,0.636516392231,0.998272061348,0.99707877636,0.999463200569,1.08763647079,0.821514427662,0.278497427702,0.853174626827,"[[2511  563]
 [  52  202]]"
True,250,same,sigmoid,sgd,2,60,0.005,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,256,1.68306148052,0.7216796875,0.994844198227,0.444079935551,1.34227919579,0.934194743633,0.607361972332,0.389763772488,"[[3009   65]
 [ 157   97]]"
True,250,same,sigmoid,sgd,2,56,0.005,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,1.08933663368,0.928933084011,0.976928472519,0.878239274025,1.16875851154,0.886718809605,0.37869822979,0.755905508995,"[[2746  328]
 [  77  177]]"
True,250,same,sigmoid,sgd,2,58,0.005,0.01,0.0001,"[1, 4]",286,46,50,0.3,False,tanh,relu,128,1.12034058571,0.93204832077,0.981237769127,0.880575954914,1.20595490932,0.885817348957,0.372469633818,0.724409461021,"[[2733  341]
 [  94  160]]"
True,184,same,sigmoid,sgd,3,64,0.01,0.001,0.0001,"[1, 1, 1]",276,74,50,0.001,False,relu,relu,64,0.909575521946,0.921698093414,0.906886577606,0.939066171646,1.05294084549,0.846454381943,0.319268643856,0.893700778484,"[[2575  499]
 [  51  203]]"
True,278,same,sigmoid,adam,3,78,0.005,0.01,0.1,"[1, 2, 4]",278,78,50,0.1,True,tanh,tanh,48,,,,,,,,,
False,164,same,sigmoid,sgd,1,66,0.01,0.1,0.0001,[1],286,68,50,0.001,False,tanh,relu,64,0.692428350449,0.598276913166,0.714843332767,0.322096824646,0.689581692219,0.824819743633,0.172962233424,0.342519670725,"[[2650  424]
 [ 174   80]]"
