optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,5,0.001,50,64,False,200,same,sigmoid,0.2,0.3,30,10,0.3,"[1, 4, 8, 8, 4]",softmax,,,,,,,,
sgd,4,0.001,50,128,True,120,same,sigmoid,0.2,0.001,84,76,0.001,"[1, 0.5, 0.25, 0.25]",softmax,87.8923110962,0.508452892303,0.0,0.0,87.8922119141,0.499871969223,0.0,0.0
rmsprop,5,0.001,50,64,True,180,same,sigmoid,0.0001,0.001,94,70,0.001,"[1, 1, 1, 1, 1]",relu,1.05291056633,0.552756786346,0.524373829365,0.954512298107,1.05369865894,0.560066640377,0.533686161041,0.955197155476
rmsprop,4,0.0001,50,64,True,270,same,sigmoid,0.0001,0.2,38,28,0.0,"[1, 2, 4, 4]",sigmoid,0.806156337261,0.508643627167,0.0,0.0,0.806685745716,0.499743878841,0.0,0.0
rmsprop,2,0.001,50,128,True,100,same,sigmoid,0.01,0.0001,32,56,0.1,"[1, 1]",tanh,0.715162456036,0.506967186928,0.497347772121,0.406052708626,0.715857923031,0.520235657692,0.511642754078,0.420005232096
rmsprop,2,0.0001,50,256,True,210,same,sigmoid,0.3,0.1,68,76,0.3,"[1, 1]",tanh,60.4959983826,0.50801807642,0.0,0.0,60.4948120117,0.51302087307,0.0,0.0
sgd,5,0.0001,50,64,False,270,same,sigmoid,0.1,0.2,66,10,0.3,"[1, 0.5, 0.25, 0.25, 0.5]",sigmoid,0.929763913155,0.508848190308,0.0,0.0,0.929816782475,0.507300257683,0.0,0.0
sgd,2,0.0001,50,64,False,280,same,sigmoid,0.1,0.0001,96,72,0.2,"[1, 1]",softmax,7.38008737564,0.491535395384,0.491535395384,1.0,7.38009119034,0.488729536533,0.488729536533,0.999999940395
sgd,3,0.1,50,256,True,180,same,sigmoid,0.0001,0.001,22,44,0.0,"[1, 2, 4]",relu,0.701842904091,0.545024693012,0.520268559456,0.970970571041,0.702649772167,0.541536509991,0.515563130379,0.974071085453
sgd,1,0.01,50,128,False,120,same,sigmoid,0.3,0.001,86,52,0.3,[1],tanh,0.69543504715,0.548386275768,0.529741585255,0.719238758087,0.692308604717,0.555071771145,0.533179461956,0.725844442844
sgd,1,0.0001,50,128,True,150,same,sigmoid,0.0001,0.001,84,78,0.001,[1],relu,0.880384922028,0.515906751156,0.508047938347,0.501301765442,0.881502866745,0.508324801922,0.499336689711,0.490871191025
sgd,5,0.1,50,256,True,160,same,sigmoid,0.001,0.1,34,24,0.2,"[1, 1, 1, 1, 1]",sigmoid,40.358291626,0.508711993694,0.0,0.0,40.3579139709,0.511979222298,0.0,0.0
sgd,3,0.01,50,64,False,130,same,sigmoid,0.2,0.01,92,20,0.1,"[1, 1, 1]",tanh,0.731567919254,0.545136034489,0.5317029953,0.622391045094,0.730592250824,0.546746969223,0.533123731613,0.619196712971
sgd,5,0.01,50,128,True,160,same,sigmoid,0.0001,0.1,60,68,0.01,"[1, 1, 1, 1, 1]",tanh,28.6878738403,0.508376002312,0.3125,0.000260593107669,28.6878490448,0.51152664423,0.333333343267,0.000262260698946
rmsprop,4,0.1,50,128,True,190,same,sigmoid,0.0001,0.001,24,16,0.2,"[1, 4, 8, 8]",relu,0.846336305141,0.508913934231,0.0,0.0,0.845809340477,0.512038946152,0.0,0.0
sgd,3,0.001,50,128,False,130,same,sigmoid,0.001,0.01,90,50,0.01,"[1, 2, 4]",relu,0.88594943285,0.555122971535,0.526072561741,0.96072101593,0.889555931091,0.550717234612,0.522097527981,0.962031900883
rmsprop,2,0.01,50,128,True,180,same,sigmoid,0.3,0.01,38,78,0.1,"[1, 1]",sigmoid,14.3363933563,0.508504092693,0.0,0.0,14.3360786438,0.513191640377,0.0,0.0
rmsprop,5,0.001,50,64,True,110,same,sigmoid,0.3,0.3,16,58,0.3,"[1, 4, 8, 8, 4]",tanh,0.903480470181,0.508592486382,0.0,0.0,0.903456449509,0.510374009609,0.0,0.0
sgd,2,0.001,50,64,True,150,same,sigmoid,0.01,0.3,34,22,0.0,"[1, 2]",tanh,0.914377272129,0.508490204811,0.0,0.0,0.914341270924,0.509733617306,0.0,0.0
