optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,1,0.1,50,64,False,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0869927033782,0.970621049404,0.982145607471,0.958047330379,0.256268292665,0.940430939198,0.95596820116,0.922210812569
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,42,74,0.001,[1],relu,0.131075948477,0.965830206871,0.976957798004,0.953437149525,0.209370240569,0.940430939198,0.954041182995,0.924257934093
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,47,74,0.001,[1],relu,0.112010896206,0.95944237709,0.978430390358,0.9387357831,0.283973246813,0.934854269028,0.953258574009,0.913254857063
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,50,74,0.001,[1],relu,0.0696462392807,0.976856827736,0.986357271671,0.966601788998,0.199120044708,0.946134388447,0.961324572563,0.928607940674
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,54,74,0.001,[1],relu,0.121285960078,0.961673021317,0.982066333294,0.93970900774,0.221564918756,0.937389135361,0.962601602077,0.908904790878
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,57,74,0.001,[1],relu,0.102003790438,0.966742753983,0.982716560364,0.949492871761,0.239497169852,0.940430939198,0.961600482464,0.916325449944
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0001,62,74,0.001,[1],relu,0.0816066116095,0.973814964294,0.980158925056,0.966652989388,0.260393232107,0.940050721169,0.948550522327,0.929375648499
sgd,1,0.1,40,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.137911230326,0.958174943924,0.969278454781,0.945446133614,0.236043348908,0.934980988503,0.94706350565,0.920163750648
sgd,1,0.1,70,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.153111189604,0.955741465092,0.972113013268,0.937455177307,0.228139340878,0.935741484165,0.952140450478,0.916325449944
sgd,1,0.1,60,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.081415489316,0.98813688755,0.989870429039,0.986118197441,0.198433175683,0.950316846371,0.958289921284,0.940634608269
