batch_size,epochs,learning_rate,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.197319760919,0.990524411201,0.962861061096,0.953030049801,0.347869515419,0.940705537796,0.865084111691,0.850486338139
256,100,0.001,adam,26,20,sigmoid,tanh,12,44,sigmoid,softmax,False,True,0.164934143424,0.992387473583,0.9619140625,0.949760854244,0.359017789364,0.966265082359,0.859074532986,0.816331148148
256,100,0.001,adam,26,20,sigmoid,tanh,12,48,sigmoid,softmax,False,True,0.18131788075,0.985306143761,0.969844937325,0.968866050243,0.334545552731,0.92526692152,0.874399065971,0.882153332233
256,100,0.1,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,1.02004206181,0.662089526653,0.659298062325,0.991373538971,1.0307148695,0.663078069687,0.658954322338,0.989142715931
256,100,0.01,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.193091839552,0.924791812897,0.926669061184,0.967949569225,0.42407271266,0.851582527161,0.829777657986,0.900701224804
256,100,0.0001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.335633695126,0.996562957764,0.979077875614,0.971757948399,0.441751629114,0.935253620148,0.848858177662,0.82990270853
256,100,1e-05,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.56152254343,0.998882174492,0.998194813728,0.998391151428,0.599138259888,0.891195237637,0.851111769676,0.883736729622
256,100,0.001,adam,26,20,sigmoid,tanh,1,40,sigmoid,softmax,False,True,0.361860394478,0.868897497654,0.838778436184,0.890737533569,0.437640249729,0.83542907238,0.792668282986,0.856593549252
256,100,0.001,adam,26,20,sigmoid,tanh,3,40,sigmoid,softmax,False,True,0.149383559823,0.996637105942,0.984670937061,0.980156421661,0.372740417719,0.940030753613,0.851712763309,0.829676568508
256,100,0.001,adam,26,20,sigmoid,tanh,6,40,sigmoid,softmax,False,True,0.154262915254,0.98941296339,0.981149375439,0.982024669647,0.344063162804,0.921596586704,0.868990361691,0.877403318882
256,100,0.001,adam,26,20,sigmoid,tanh,9,40,sigmoid,softmax,False,True,0.154318094254,0.991635203362,0.978101313114,0.975144147873,0.348818510771,0.937376737595,0.868840157986,0.859986424446
256,100,0.001,adam,26,20,sigmoid,tanh,14,40,sigmoid,softmax,False,True,0.639927864075,0.662346124649,0.662346124649,1.0,0.638789594173,0.664212763309,0.664212763309,1.0
256,80,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.16103041172,0.991398870945,0.967388749123,0.959024846554,0.337965935469,0.946720302105,0.869891822338,0.852069675922
256,90,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.209391713142,0.99020254612,0.951142311096,0.935434818268,0.348839968443,0.953229963779,0.862830519676,0.83442658186
256,110,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.146531358361,0.992226302624,0.97114700079,0.963980853558,0.34162145853,0.948236465454,0.866586565971,0.845283865929
256,120,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.126847207546,0.991450250149,0.977716624737,0.974738419056,0.34068518877,0.937165141106,0.875150263309,0.870391309261
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,relu,False,True,0.0624999627471,0.994206190109,0.979462623596,0.974642217159,0.494797825813,0.939821720123,0.869441092014,0.858403086662
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,sigmoid,False,True,0.0821334943175,0.961188495159,0.97114700079,0.996646404266,0.392416834831,0.85448217392,0.856219947338,0.944356501102
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,tanh,False,True,0.037652939558,0.986701071262,0.986209750175,0.992528319359,0.43821144104,0.900850474834,0.873948335648,0.910427510738
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,True,True,0.279592633247,0.965178608894,0.918235063553,0.909314393997,0.352180182934,0.93233269453,0.863731980324,0.857045888901
256,100,0.001,adam,26,20,sigmoid,tanh,12,40,sigmoid,softmax,True,True,0.366740942001,0.857473731041,0.867483437061,0.959385216236,0.430729836226,0.823111832142,0.828125,0.944130301476
256,100,0.001,adam,26,10,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.110324308276,0.989465177059,0.981652438641,0.982740104198,0.337886482477,0.920291543007,0.872896611691,0.885320067406
256,100,0.001,adam,26,30,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.226633295417,0.986974954605,0.95747512579,0.948288202286,0.353182196617,0.942433357239,0.864633440971,0.847998201847
256,100,0.001,adam,26,40,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.167211055756,0.990103542805,0.968069374561,0.961383759975,0.341093868017,0.940024793148,0.869290888309,0.857950687408
256,100,0.001,adam,26,50,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.172824144363,0.991284191608,0.965050876141,0.955620110035,0.343423426151,0.95552700758,0.868239164352,0.840759992599
256,100,0.001,rmsprop,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.164118140936,0.986951768398,0.974431812763,0.974239706993,0.347873747349,0.923696696758,0.873046875,0.881700992584
256,100,0.001,sgd,26,20,sigmoid,tanh,12,40,sigmoid,softmax,False,True,0.638310849667,0.661931812763,0.661931812763,1.0,0.636932373047,0.664212763309,0.664212763309,1.0
