batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,l1_r,l2_r,module_activation,module_output_activation,nr_modules,num_filters,output_activation,reg_module,reg_shortcut,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
adam,3,0.001,100,512,True,False,tanh,False,True,sigmoid,28,9,linear,tanh,0,0.0001,40,34,1.30034399033,0.984553277493,0.958984375,0.953047335148,1.51358234882,0.937612473965,0.879516601562,0.874161064625
sgd,3,0.001,100,256,True,False,relu,False,False,sigmoid,40,9,sigmoid,tanh,0.1,0,20,28,0.242501497269,0.947026968002,0.907803058624,0.911930680275,0.395670562983,0.876201272011,0.818655312061,0.841628968716
sgd,3,0.001,100,512,False,False,sigmoid,False,False,sigmoid,38,6,softmax,linear,0.001,0,20,36,0.64114266634,0.662744700909,0.662744700909,1.0,0.645446777344,0.65478515625,0.65478515625,1.0
rmsprop,3,0.0005,100,512,True,False,sigmoid,True,True,sigmoid,32,1,relu,sigmoid,0.1,0,50,32,0.658634126186,0.857304632664,0.81200581789,0.859646618366,0.670384466648,0.837980687618,0.797973632812,0.857196092606
sgd,3,0.001,100,128,False,True,sigmoid,True,True,sigmoid,24,6,relu,sigmoid,0,0,30,34,0.358052819967,0.912548720837,0.835584521294,0.831563591957,0.391512781382,0.888779699802,0.814393937588,0.818642556667
sgd,3,0.001,100,512,True,False,softmax,False,True,sigmoid,28,9,relu,sigmoid,0,0.1,50,26,85.4227218628,0.663215339184,0.663215339184,1.0,85.427406311,0.65478515625,0.65478515625,1.0
rmsprop,3,0.0005,100,1024,False,True,relu,False,True,sigmoid,40,9,tanh,sigmoid,0,0.0001,20,28,1.27201557159,0.664201915264,0.664586484432,0.999856352806,1.28546047211,0.655176639557,0.655151367188,0.999254286289
sgd,3,0.01,100,256,False,True,relu,False,False,sigmoid,34,1,linear,sigmoid,0.0001,0.001,40,26,0.374021977186,0.8655641675,0.829372167587,0.879056870937,0.440622031689,0.83388876915,0.796638250351,0.860452473164
sgd,3,0.01,100,128,False,True,sigmoid,False,True,sigmoid,36,1,relu,tanh,0.001,0,50,32,0.294629484415,0.968558967113,0.939641356468,0.939434826374,0.499763727188,0.904308915138,0.859138250351,0.877466082573
rmsprop,3,0.01,100,512,False,False,tanh,False,True,sigmoid,38,6,tanh,linear,0,0.1,30,34,1815.33496094,0.662438809872,0.662438809872,1.0,1815.34020996,0.65478515625,0.65478515625,1.0
adam,3,0.001,100,512,True,False,sigmoid,True,False,sigmoid,28,6,linear,softmax,0.0001,0.001,50,32,0.575871884823,0.975456237793,0.976915478706,0.990099012852,0.750106871128,0.867065250874,0.854858398438,0.91927665472
sgd,3,0.0005,100,128,True,False,softmax,False,False,sigmoid,24,3,softmax,relu,0,0.001,30,36,0.639586687088,0.66262704134,0.66262704134,1.0,0.644864141941,0.654000937939,0.654000937939,1.0
adam,3,0.0005,100,256,False,True,tanh,True,False,sigmoid,42,6,relu,tanh,0.001,0.1,20,32,0.0957341939211,0.972414255142,0.967997014523,0.979462742805,0.381765663624,0.898978829384,0.863991498947,0.892307698727
rmsprop,3,0.001,100,256,False,True,relu,False,True,sigmoid,28,3,relu,sigmoid,0.0001,0.0001,50,30,0.862235844135,0.662438809872,0.662438809872,1.0,0.867489516735,0.654000937939,0.654000937939,1.0
adam,3,0.1,100,512,True,True,relu,True,True,sigmoid,26,9,tanh,linear,0.1,0.001,40,34,12.815823555,0.662697672844,0.662697672844,1.0,12.8131599426,0.65478515625,0.65478515625,1.0
sgd,3,0.001,100,1024,False,False,sigmoid,False,False,sigmoid,42,12,tanh,tanh,0.1,0,30,34,0.700302481651,0.926102936268,0.392554312944,0.0905431136489,0.699890136719,0.914018690586,0.399291992188,0.0911633074284
sgd,3,0.01,100,1024,False,True,softmax,True,True,sigmoid,24,12,relu,sigmoid,0.001,0.1,30,30,31.56599617,0.662299931049,0.662299931049,1.0,31.571182251,0.65478515625,0.65478515625,1.0
rmsprop,3,0.01,100,128,True,True,relu,False,False,sigmoid,32,9,linear,sigmoid,0,0.001,30,36,0.252382218838,0.965140283108,0.900037646294,0.88096165657,0.361624062061,0.937903225422,0.860203623772,0.841990947723
sgd,3,0.001,100,1024,True,False,sigmoid,True,True,sigmoid,24,9,linear,tanh,0,0.1,40,30,61.2474632263,0.66277629137,0.66277629137,1.0,61.2529258728,0.65478515625,0.65478515625,1.0
adam,3,0.001,100,1024,True,True,relu,True,True,sigmoid,26,6,softmax,sigmoid,0,0.1,50,28,14.3676815033,0.662490487099,0.662490487099,1.0,14.3734149933,0.65478515625,0.65478515625,1.0
rmsprop,3,0.01,100,256,False,True,softmax,True,True,sigmoid,28,12,softmax,softmax,0,0.1,30,36,182.269973755,0.663285970688,0.663285970688,1.0,182.275894165,0.654000937939,0.654000937939,1.0
sgd,3,0.001,100,256,True,True,tanh,False,True,sigmoid,26,1,tanh,tanh,0.0001,0.1,30,30,1.61678814888,0.662618875504,0.66260355711,0.999928951263,1.62030625343,0.654000937939,0.654000937939,1.0
rmsprop,3,0.0005,100,1024,False,True,relu,True,False,sigmoid,36,12,relu,tanh,0.1,0.0001,50,30,0.324564129114,0.971127808094,0.867425680161,0.824705600739,0.377075195312,0.946131706238,0.836547851562,0.795674860477
rmsprop,3,0.1,100,1024,False,True,tanh,True,True,sigmoid,28,6,sigmoid,softmax,0,0.001,50,32,9.23163318634,0.662466645241,0.662466645241,1.0,9.2441072464,0.65478515625,0.65478515625,1.0
