optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,train_f1,val_f1
sgd,3.0,0.01,100,1536,True,False,relu,True,True,sigmoid,30,12,linear,linear,0.01,0.0,40,30,6.63727235794,0.436782330275,0.476936846972,0.227060183883,6.67399072647,0.437933206558,0.478352874517,0.231050536036,0.307652911668,0.311596156509
sgd,3.0,0.01,100,256,True,False,sigmoid,True,True,sigmoid,38,6,sigmoid,tanh,0.0,0.0001,40,38,1.62778151035,0.537392437458,0.560674965382,0.751900553703,1.63682019711,0.531425178051,0.55330401659,0.740691483021,0.642358189359,0.633429672256
sgd,3.0,0.001,75,128,True,True,tanh,True,False,sigmoid,30,1,softmax,linear,0.01,0.01,20,34,0.69294500351,0.394495427608,0.508435606956,0.00279929698445,0.692886173725,0.388888895512,0.509020626545,0.00229960586876,0.00556793853616,0.00457852729432
sgd,3.0,0.001,100,512,True,True,softmax,True,True,sigmoid,42,15,relu,sigmoid,0.0,0.0,30,38,0.69299519062,0.0,0.509349405766,0.0,0.692932128906,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.01,100,128,True,True,tanh,True,True,sigmoid,44,15,relu,tanh,0.0,0.01,60,26,39.664478302,0.0,0.509202480316,0.0,39.6643943787,0.0,0.509664952755,0.0,0.0,0.0
sgd,3.0,0.01,100,256,True,True,relu,True,False,sigmoid,34,15,sigmoid,relu,0.1,0.001,40,34,0.976186394691,0.428571432829,0.509253323078,9.78697062237e-05,0.975698769093,0.0,0.510416686535,0.0,0.000195701801936,0.0
adam,3.0,0.01,100,128,False,True,softmax,True,True,sigmoid,40,1,tanh,sigmoid,0.01,0.0001,50,28,0.855914354324,0.666666686535,0.509234428406,6.51062873658e-05,0.855580031872,1.0,0.50974547863,0.00016425755166,0.000130195929012,0.000328409278538
sgd,3.0,0.01,100,512,True,True,relu,False,False,sigmoid,34,18,linear,relu,0.01,0.001,50,34,0.693731606007,0.495612323284,0.50507491827,0.458586066961,0.694437682629,0.489446163177,0.50089520216,0.450964093208,0.48070913701,0.474620044651
sgd,3.0,0.001,100,1536,True,True,sigmoid,True,True,sigmoid,38,1,sigmoid,linear,0.01,0.0001,30,30,2.6550424099,0.504058241844,0.511604845524,0.339619517326,2.65494513512,0.49453163147,0.506673157215,0.345744669437,0.408237823731,0.411018019043
rmsprop,3.0,0.01,75,1536,True,False,softmax,True,True,sigmoid,24,12,linear,linear,0.01,0.01,20,38,212.067565918,0.0,0.509488940239,0.0,212.067459106,0.0,0.510416686535,0.0,0.0,0.0
