meier_load,use_residuals,use_bottleneck,residual_activation,reg_residual,reg_module,output_layer_activation,optimizer,num_modules,num_filters,module_output_activation,module_activation,learning_rate,l2_r,l1_r,filter_size,epochs,bottleneck_size,batch_size,train_loss,train_accuracy,train_precision,train_recall,train_f2,val_loss,val_accuracy,val_precision,val_recall,val_f2,confusion_matrix
0.0,True,True,relu,False,False,sigmoid,rmsprop,1,40,relu,tanh,0.01,0.01,0.01,80,50,48,256,0.523009479046,0.751904296875,0.734847,0.786015,0.775219,0.568521738052,0.698918269231,0.163063,0.712598,0.425682,"[[2145  929]
 [  73  181]]"
0.0,False,True,relu,False,False,sigmoid,rmsprop,1,40,relu,linear,0.0001,0.0001,0.01,32,50,40,256,0.6497220397,0.6294921875,0.620642,0.660758,0.652325,0.651678025723,0.598557692308,0.116856,0.649606,0.339786,"[[1827 1247]
 [  89  165]]"
0.0,True,True,relu,False,False,sigmoid,adam,4,40,relu,linear,0.001,0.01,0.0,64,50,56,64,0.0748223811388,0.978266160436,0.975171,0.981406,0.980152,0.367640703917,0.872596153846,0.348754,0.771654,0.621039,"[[2708  366]
 [  58  196]]"
0.0,True,True,relu,True,True,sigmoid,rmsprop,1,56,relu,relu,0.0001,0.1,0.01,72,50,48,64,1.23875558376,0.532150506231,0.951532,0.065154,0.080071,1.23760139942,0.924278846154,0.5625,0.035433,0.043605,"[[3067    7]
 [ 245    9]]"
0.0,True,True,tanh,True,False,sigmoid,adam,1,88,linear,tanh,0.01,0.01,0.1,40,50,40,64,0.695399105549,0.498685747664,0.498686,1.0,0.832602,0.751626491547,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,True,True,relu,False,False,sigmoid,adam,1,56,relu,relu,0.001,0.1,0.01,48,50,32,128,0.538098692894,0.730480919003,0.685063,0.850561,0.811359,0.670336902142,0.611478365385,0.141477,0.807087,0.415822,"[[1830 1244]
 [  49  205]]"
0.0,True,True,relu,True,True,sigmoid,rmsprop,4,40,relu,linear,0.01,0.001,0.1,40,50,40,128,230.548370361,0.498685747664,0.498686,1.0,0.832602,232.205688477,0.0763221153846,0.076322,1.0,0.292357,"[[   0 3074]
 [   0  254]]"
0.0,False,True,relu,False,True,sigmoid,adam,1,48,relu,relu,0.01,0.01,0.0001,32,50,32,128,0.688879609108,0.706045560748,0.66449,0.829234,0.790059,0.76628869772,0.585336538462,0.127646,0.759843,0.381725,"[[1755 1319]
 [  61  193]]"
0.0,True,False,relu,False,True,sigmoid,rmsprop,1,80,relu,tanh,0.0001,0.0001,0.0001,80,50,40,256,0.690912306309,0.6009765625,0.615629,0.531584,0.546505,0.687612473965,0.65234375,0.111111,0.507874,0.296279,"[[2042 1032]
 [ 125  129]]"
0.0,True,False,relu,False,False,sigmoid,sgd,4,72,relu,linear,0.01,0.01,0.01,88,50,56,256,,,,,,,,,,,
,False,True,relu,False,False,sigmoid,rmsprop,4,40,relu,linear,0.001,0.0,0.0,88,50,40,128,,,,,,,,,,,
