batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
256,300,0.01,3,adam,30,20,softmax,relu,1,34,sigmoid,softmax,True,True,0.3303954303264618,0.8862453699111938,0.8826941251754761,0.9439975023269652,0.3706374168395996,0.8538743853569031,0.8365384340286255,0.9058850407600404
1024,250,0.0001,3,adam,30,50,relu,linear,1,36,sigmoid,relu,True,True,0.1597694307565689,0.9508196711540222,0.9613221883773804,0.9929376244544984,0.3920333385467529,0.8540802001953125,0.8440755009651184,0.9193548560142516
256,300,1e-05,3,rmsprop,40,50,softmax,sigmoid,12,40,sigmoid,tanh,True,True,0.3217342495918274,0.9446210861206056,0.8754438757896423,0.8625479936599731,0.3785754740238189,0.9143000841140748,0.8392428159713745,0.8330661654472351
1024,250,0.0001,3,rmsprop,30,30,relu,softmax,1,28,sigmoid,tanh,True,True,0.4571530222892761,0.709689736366272,0.7288115620613098,0.9989718198776244,0.5307261347770691,0.6858171820640564,0.69677734375,0.9923076629638672
1024,200,1e-05,3,sgd,36,30,softmax,linear,1,36,sigmoid,relu,False,False,0.693921685218811,0.6603040099143982,0.4984315931797027,0.5005582571029663,0.6940800547599792,0.6455490589141846,0.4899088442325592,0.4930520951747894
128,250,0.0001,3,rmsprop,28,20,sigmoid,sigmoid,1,38,sigmoid,tanh,True,True,0.3535694777965545,0.8942943811416626,0.8455551862716675,0.8696448802947998,0.4368639290332794,0.8555581569671631,0.7965745329856873,0.8300893306732178
128,350,0.01,3,sgd,24,20,sigmoid,softmax,6,40,sigmoid,sigmoid,True,True,0.6337227821350098,0.6621665358543396,0.6620798110961914,0.9996424317359924,0.6412137746810913,0.6559447050094604,0.6556490659713745,0.9993130564689636
512,350,1e-05,3,sgd,38,50,sigmoid,linear,1,26,sigmoid,softmax,False,True,0.6904968023300171,0.8044106364250183,0.5245028138160706,0.3730683326721191,0.6863833665847778,0.8094534873962402,0.5327523946762085,0.3764598071575165
1024,350,0.01,3,adam,26,20,tanh,linear,1,36,sigmoid,sigmoid,False,False,0.1921492218971252,0.9776763916015624,0.9203953742980956,0.900339663028717,0.3908579051494598,0.921235740184784,0.8367512822151184,0.8213399648666382
256,350,0.001,3,adam,34,40,tanh,tanh,1,40,sigmoid,softmax,True,True,0.3384082019329071,0.8997911214828491,0.8471531867980957,0.8657556176185608,0.424012690782547,0.8565279841423035,0.791917085647583,0.820242702960968
256,250,0.001,3,adam,40,30,linear,relu,1,28,sigmoid,tanh,True,True,0.4789399802684784,0.6978442072868347,0.7099313735961914,0.9910167455673218,0.5162900686264038,0.6791045069694519,0.6828425526618958,0.9793908596038818
512,250,0.0001,3,adam,40,20,relu,tanh,6,26,sigmoid,tanh,True,True,0.6009349822998047,0.6634746789932251,0.6630859375,0.9969167709350586,0.6139513254165649,0.6559951901435852,0.654296875,0.9947332143783568
128,300,0.1,3,rmsprop,30,30,tanh,relu,1,24,sigmoid,softmax,False,True,0.6245859861373901,0.6622573137283325,0.6622573137283325,1.0,0.6453577876091003,0.6560997366905212,0.6560997366905212,1.0
256,250,1e-05,3,adam,24,20,relu,relu,1,36,sigmoid,relu,True,True,,,,,,,,
512,350,0.001,3,sgd,26,20,softmax,softmax,12,34,sigmoid,sigmoid,False,True,0.6403652429580688,0.6616358757019043,0.6616358757019043,1.0,0.6442697048187256,0.6560997366905212,0.6560997366905212,1.0
